name,value,extra,number of components (automated)
Male,1753,,
Female,816,,
,,,
Public,1410,,
Private,864,,
Academia,130,,
NGO,107,,
Trainers,73,,
,,,
Trade Policy Strategy,60,,
Creative Economy Strategy,60,,
National Entrepreneurship Strategy,40,,
Institutional investment facilitation strategy,10,,
Investment Policy Review of Angola,100,,
Review of International Investment Agreements,100,,
Sustainable investment promotion strategy for agriculture,50,,
Fisheries Export strategy,40,,
Honey policy,40,,
Honey residue monitoring plan,40,,
National Trade Facilitation Strategy,40,,
Corridor review,10,,
Public-Private Partnership Law,100,,
Public-Private Partnership decree,100,,
,,,
Bengo,8,Commercial Diplomacy; National Green Export Review (NGER); EMPRETEC,3
Benguela,45,Commercial Diplomacy;Investment (IPR);National Green Export Review (NGER); Transport & Logistics,4
Bié,34,Creative Economy;EMPRETEC;National Green Export Review (NGER),3
Cabinda,14,Commercial Diplomacy;National Green Export Review (NGER); Investment (IPR);Transport & Logistics,4
Cunene,21,Commercial Diplomacy;Creative Economy;EMPRETEC;National Green Export Review (NGER),4
Huambo,114,Commercial Diplomacy;EMPRETEC;National Green Export Review (NGER),3
Huíla,87,Commercial Diplomacy;Creative Economy;EMPRETEC;National Green Export Review (NGER);Investment (IPR);Transport & Logistics,6
Kuando-Kubango,4,National Green Export Review (NGER),1
Kwanza-Norte,32,Commercial Diplomacy;EMPRETEC;National Green Export Review (NGER),3
Kwanza-Sul,57,Commercial Diplomacy;Creative Economy;EMPRETEC;National Green Export Review (NGER); Transport & Logistics,5
Luanda,1401,Commercial Diplomacy;Creative Economy;EMPRETEC;Investment (IPR);National Green Export Review (NGER);Trade Facilitation;Transport & Logistics,7
Lunda Norte,2,Commercial Diplomacy;National Green Export Review (NGER),2
Lunda Sul,7,Commercial Diplomacy;National Green Export Review (NGER),2
Malanje,32,Commercial Diplomacy;EMPRETEC;National Green Export Review (NGER),3
Moxico,61,Commercial Diplomacy;EMPRETEC;Investment (IPR);National Green Export Review (NGER);Transport & Logistics,5
Namibe,17,Commercial Diplomacy;EMPRETEC;National Green Export Review (NGER);Transport & Logistics,4
Uíge,187,Commercial Diplomacy;EMPRETEC;National Green Export Review (NGER),3
Zaire,38,Creative Economy;Commercial Diplomacy;EMPRETEC;Transport & Logistics,5
Missões diplomáticas de Angola,6,Commercial Diplomacy;Creative Economy;Investment (IPR);National Green Export Review (NGER);Transport & Logistics,5
,,,
Updated,3/27/23 9:10,,
